LogFC_Cell	LogFC_scRNA	Type	Size	P value	Benj. Hoch. FDR	Names	Category	Label
0.07748726	0.210470617	GO_terms	115	0.005536041	0.046345975	BP_protein-containing complex localization	GO BP	
0.156640381	0.217888921	GO_terms	90	0.005436318	0.045917473	BP_chromosome segregation	GO BP	
0.046618193	0.224190563	GO_terms	205	8.13E-05	0.001325596	KEGG_Pathways of neurodegeneration - multiple diseases	KEGG	
0.024073079	0.233166859	GO_terms	447	8.59E-10	1.16E-07	CC_envelope	GO CC	
-0.029781537	0.233234525	GO_terms	148	0.000157801	0.002261819	KEGG_Huntington disease	KEGG	
0.084063627	0.252896994	GO_terms	180	3.20E-05	0.000571613	KEGG_Alzheimer disease	KEGG	
0.094361447	0.271361917	GO_terms	71	0.005013987	0.043515888	CC_mitochondrial membrane part	GO CC	
0.156004325	0.303286314	GO_terms	134	9.81E-06	0.00021086	BP_protein folding	GO BP	
0.183502287	0.305764735	GO_terms	471	0	0	CC_ribonucleoprotein complex	GO CC	
0.029957792	0.308426231	GO_terms	184	1.82E-07	6.64E-06	KEGG_Amyotrophic lateral sclerosis	KEGG	
0.399298936	0.320661455	GO_terms	111	4.64E-09	3.13E-07	KEGG_Ribosome	KEGG	
0.033988096	0.325629741	GO_terms	61	0.001535944	0.015135448	KEGG_Spinocerebellar ataxia	KEGG	
0.025666028	0.341313869	GO_terms	140	4.22E-07	1.38E-05	KEGG_Parkinson disease	KEGG	
0.176135391	0.362983793	GO_terms	115	1.11E-06	2.92E-05	KEGG_Spliceosome	KEGG	
0.091095909	0.371053785	GO_terms	143	5.44E-08	2.57E-06	KEGG_Prion disease	KEGG	
-0.255881935	0.406012863	GO_terms	26	0.00046361	0.006091325	BP_leukocyte mediated cytotoxicity	GO BP	
0.068458393	0.469492376	GO_terms	25	0.003682712	0.034155348	CC_proteasome accessory complex	GO CC	
0.309880704	0.475803912	GO_terms	53	5.52E-06	0.000127385	KEGG_Ribosome biogenesis in eukaryotes	KEGG	
0.248843178	0.480099112	GO_terms	123	1.90E-11	6.01E-09	CC_mitochondrial protein complex	GO CC	
0.25533089	0.662781954	GO_terms	17	0.000763214	0.008913586	CC_chaperone complex	GO CC	
0.446488142	0.678129435	GO_terms	53	8.40E-11	1.99E-08	CC_organellar ribosome	GO CC	
0.074770711	0.767243505	GO_terms	12	0.000914769	0.010062454	KEGG_Mismatch repair	KEGG	
0.354207039	0.813568532	GO_terms	12	0.000474057	0.006060246	BP_positive regulation of telomerase RNA localization to Cajal body	GO BP	
0.226918668	0.84326297	GO_terms	19	6.72E-06	0.000151337	KEGG_DNA replication	KEGG	DNA replication
-0.419307351	0.865364611	GO_terms	6	0.000883734	0.009952528	CC_prefoldin complex	GO CC	
